"nba_year","nba_draft_Rk","nba_draft_Player","nba_draft_Pk","nba_draft_Tm","nba_draft_College","nba_draft_Yrs","nba_draft_ttl_G","nba_draft_ttl_MP","nba_draft_ttl_PTS","nba_draft_ttl_TRB","nba_draft_ttl_AST","nba_draft_FG","nba_draft__3P","nba_draft_FT","nba_draft_per_MP","nba_draft_per_PTS","nba_draft_per_TRB","nba_draft_per_AST","nba_draft_WS","nba_draft_WS48","nba_draft_BPM","nba_draft_VORP"
"1948","69","Harry Gallatin","","NYK","Truman State University","10","682","15813","8843","6684","1208",".398","",".773","31.9","13.0","11.9","1.8","78.4",".182","",""
"1948","70","Keith Grimes","","NYK","East Central University","","","","","","","","","","","","","","","","",""
"1948","71","Mel McGaha","","NYK","Arkansas","1","51","","176","","51",".318","",".591","","3.5","","1.0","1.5","","",""
"1948","72","Ed Peterson","","NYK","Cornell","2","115","","804","288","99",".384","",".627","","7.0","5.4","0.9","6.6","","",""
"1948","73","Tex Ritter","","NYK","Eastern Kentucky University","3","151","","789","65","145",".348","",".674","","5.2","1.9","1.0","5.7","","",""
"1948","74","Dick Shrider","","NYK","Ohio University","1","4","","1","","2","","",".333","","0.3","","0.5","0.0","","",""
"1948","75","John Stanich","","NYK","UCLA","","","","","","","","","","","","","","","","",""
"1948","76","William Brown","","PHW","Maryland","","","","","","","","","","","","","","","","",""
"1948","77","Hugh Compton","","PHW","Louisville","","","","","","","","","","","","","","","","",""
"1948","78","Joe Nelson","","PHW","BYU","","","","","","","","","","","","","","","","",""
"1948","79","Clint Pace","","PHW","Pepperdine","","","","","","","","","","","","","","","","",""
"1948","80","Roy Pugh","","PHW","SMU","1","23","","32","","9",".255","",".316","","1.4","","0.4","-0.2","","",""
"1948","81","Tom Short","","PHW","Kansas Wesleyan","","","","","","","","","","","","","","","","",""
"1948","82","Joe Wahl","","PHW","University of Akron","","","","","","","","","","","","","","","","",""
"1948","83","Andy Wolfe","","PHW","California","","","","","","","","","","","","","","","","",""
"1948","84","Al Bennett","","PRO","Oklahoma State","","","","","","","","","","","","","","","","",""
"1948","85","Jack Coleman","","PRO","Louisville","9","633","16479","6721","5186","1749",".416","",".695","33.1","10.6","9.2","2.8","47.7",".107","",""
"1948","86","Ed Faber","","PRO","Trinity University","","","","","","","","","","","","","","","","",""
"1948","87","Verl Heap","","PRO","Arizona State","","","","","","","","","","","","","","","","",""
"1948","88","Otto Snellbacher","","PRO","Kansas","","","","","","","","","","","","","","","","",""
